text,signature,signature_id,category,severity,proto,app_proto,src_ip,src_port,dest_ip,dest_port,hostname,uri,timestamp,source,count,date
ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct Sept 15 2015 | A Network Trojan was detected | http | nursealarmsystems.com | /document.php?rnd=N&id=NEND0F4A0C0END0FND084A070B09 | 80,ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct Sept 15 2015,2021786,A Network Trojan was detected,1,TCP,http,192.168.0.53,2211,216.47.227.188,80,nursealarmsystems.com,/document.php?rnd=9813&id=5555525E01160D0F4A0C0E010809120D0F240309050D084A070B09,2015-04-07T07:34:49.044212-0600,first-org-2015,1,2015-04-07
ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct Sept 15 2015 | A Network Trojan was detected | http | www.mybusinessdoc.com | /document.php?rnd=N&id=NEND0F4A0C0END0FND084A070B09 | 80,ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct Sept 15 2015,2021786,A Network Trojan was detected,1,TCP,http,192.168.0.53,2210,68.164.182.11,80,www.mybusinessdoc.com,/document.php?rnd=3271&id=5555525E01160D0F4A0C0E010809120D0F240309050D084A070B09,2015-04-07T07:34:44.564366-0600,first-org-2015,3,2015-04-07
ET DNS Query for .su TLD (Soviet Union) Often Malware Related | Potentially Bad Traffic | dns | 53,ET DNS Query for .su TLD (Soviet Union) Often Malware Related,2014169,Potentially Bad Traffic,2,UDP,dns,192.168.0.51,12903,192.168.0.1,53,,,2015-03-11T05:48:24.684057-0600,first-org-2015,2,2015-03-11
ET DNS Query to a *.pw domain - Likely Hostile | Potentially Bad Traffic | dns | 53,ET DNS Query to a *.pw domain - Likely Hostile,2016778,Potentially Bad Traffic,2,UDP,dns,192.168.0.51,44461,192.168.0.1,53,,,2015-03-10T06:22:05.394090-0600,first-org-2015,2,2015-03-10
ET EXPLOIT Possible ZyXELs ZynOS Configuration Download Attempt (Contains Passwords) | Attempted Administrator Privilege Gain | http | 95.192.215.175 | /rom-0 | 80,ET EXPLOIT Possible ZyXELs ZynOS Configuration Download Attempt (Contains Passwords),2018232,Attempted Administrator Privilege Gain,1,TCP,http,91.217.90.49,42766,192.168.0.2,80,95.192.215.175,/rom-0,2015-04-08T04:46:32.316048-0600,first-org-2015,11,2015-04-08
ET EXPLOIT Possible ZyXELs ZynOS Configuration Download Attempt (Contains Passwords) | Attempted Administrator Privilege Gain | http | 95.192.4.248 | /rom-0 | 80,ET EXPLOIT Possible ZyXELs ZynOS Configuration Download Attempt (Contains Passwords),2018232,Attempted Administrator Privilege Gain,1,TCP,http,95.213.143.180,42052,192.168.0.2,80,95.192.4.248,/rom-0,2015-04-01T14:57:16.637481-0600,first-org-2015,8,2015-04-01
ET EXPLOIT Possible ZyXELs ZynOS Configuration Download Attempt (Contains Passwords) | Attempted Administrator Privilege Gain | http | 95.192.62.68 | /rom-0 | 80,ET EXPLOIT Possible ZyXELs ZynOS Configuration Download Attempt (Contains Passwords),2018232,Attempted Administrator Privilege Gain,1,TCP,http,91.217.90.49,39618,192.168.0.2,80,95.192.62.68,/rom-0,2015-04-05T07:04:29.570513-0600,first-org-2015,4,2015-04-05
ET MALWARE Common Adware Library ISX User Agent Detected | A Network Trojan was detected | http | d2uu7l47sbf1ja.cloudfront.net | /k9pcp/k9pcp_default.exe | 80,ET MALWARE Common Adware Library ISX User Agent Detected,2014137,A Network Trojan was detected,1,TCP,http,192.168.0.54,52862,54.230.98.75,80,d2uu7l47sbf1ja.cloudfront.net,/k9pcp/k9pcp_default.exe,2015-03-13T05:38:18.498259-0600,first-org-2015,2,2015-03-13
ET MALWARE Common Adware Library ISX User Agent Detected | A Network Trojan was detected | http | d2uu7l47sbf1ja.cloudfront.net | /voice/sv/voice.wav | 80,ET MALWARE Common Adware Library ISX User Agent Detected,2014137,A Network Trojan was detected,1,TCP,http,192.168.0.54,52861,54.230.98.75,80,d2uu7l47sbf1ja.cloudfront.net,/voice/sv/voice.wav,2015-03-13T05:38:16.388716-0600,first-org-2015,2,2015-03-13
ET MALWARE Common Adware Library ISX User Agent Detected | A Network Trojan was detected | http | www.k9pcfixer.com | /pcfixer/update/update.asp?build=first&ver=1.8.243.209&isreg=0&regkey=&telno=(855)%N-N&telnofr= | 80,ET MALWARE Common Adware Library ISX User Agent Detected,2014137,A Network Trojan was detected,1,TCP,http,192.168.0.54,49200,162.13.99.124,80,www.k9pcfixer.com,/pcfixer/update/update.asp?build=first&ver=1.8.243.209&isreg=0&regkey=&telno=(855)%20716-7017&telnofr=,2015-03-16T03:33:57.006572-0600,first-org-2015,10,2015-03-16
